"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Wie zufrieden sind Sie mit ihrem aktuellen Lernerfolg?","Welcher Fakultät gehört Ihr Studiengang an?","Welcher Fakultät gehört Ihr Studiengang an? [Sonstiges]","Welchen Abschluss erhalten Sie in Ihrem aktuellen Studiengang?","Welchen Abschluss erhalten Sie in Ihrem aktuellen Studiengang? [Sonstiges]","Im wievielten Fachsemester studieren Sie?","Wählen Sie bitte die passende Aussage aus. [Ich empfinde die wöchentlichen Übungsaufgaben als hilfreich.]","Wählen Sie bitte die passende Aussage aus. [Wenn Übungsaufgaben verpflichtend sind, hilft es mir am Ball zu bleiben.]","Wählen Sie bitte die passende Aussage aus. [Normalerweise finde ich die einem Kurs gestellten Materialien ausreichend und hilfreich.]","Wählen Sie bitte die passende Aussage aus. [Wenn ein Kurs keine Verpflichtungen oder Fristen vorgibt, schiebe ich vieles auf.]","Wählen Sie bitte die passende Aussage aus. [Effizientes Lernen in der Prüfungsvorbereitung ist mir wichtig]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Kurzskript]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Vollständiges Skript]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Mitschriften aus der Vorlesung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Videoaufzeichnungen der Vorlesung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Übungsaufgaben mit Musterlösung]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Bücher]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Altklausuren]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [Online-Videos (z.B. YouTube)]","Wie häufig nutzen Sie (falls gegeben) die folgenden Arten von Lernmaterialien? [KI-Chatbots (z.B. Chat-GPT, Gemini)]","Die Materialien, die ich benutze... [... fördern Verstehen statt Auswendiglernen.]","Die Materialien, die ich benutze... [... sind klar strukturiert und organisiert.]","Die Materialien, die ich benutze... [... sind nicht unnötig kompliziert dargestellt.]","Die Materialien, die ich benutze... [... stehen rechtzeitig zur Verfügung.]","Die Materialien, die ich benutze... [... erhöhen meine Arbeitsbelastung.]","Die Materialien, die ich benutze... [... erleichtern meinen Lernprozess.]","Die Materialien, die ich benutze... [... geben mir Sicherheit, den Stoff zu schaffen.]","Die Materialien, die ich benutze... [... steigern meine Motivation.]","Die Materialien, die ich benutze... [... unterstützen mein selbstständiges Lernen.]","Die Materialien, die ich benutze... [... reduzieren meinen Prüfungsstress.]","Die Materialien, die ich benutze... [... erhöhen meinen Zeitaufwand.]","Die Materialien, die ich benutze... [... geben mir Sicherheit über Prüfungsrelevanz.]","Feedback zur Umfrage"
"13",,,"de","1421325756","",,,,,,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"14",,"0","de","1629579539","","","","","",,"","","","","","","","","","","","","","","","","","","","","","","","","","",
"15","1980-01-01 00:00:00","6","de","1157929150","Eher zufrieden","Informatik","","Bachelor","","3","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Selten","Oft","Manchmal","Manchmal","Immer","Gar nicht","Immer","Manchmal","Immer","Neutral","Stimme eher nicht zu","Neutral","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Neutral","Stimme eher nicht zu","Neutral",""
"16","1980-01-01 00:00:00","6","de","512168480","Sehr zufrieden","Statistik","","Bachelor","","3","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Oft","Oft","Immer","Manchmal","Oft","Immer","Immer","Immer","Manchmal","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Was tut Diddyblud mit dem Taschenrechner? Ist er Einstein?"
"17","1980-01-01 00:00:00","6","de","1398450241","Sehr zufrieden","Physik","","Bachelor","","5","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Neutral","Oft","Immer","Immer","","Immer","Manchmal","Immer","Oft","Manchmal","Stimme eher zu","Neutral","Stimme voll und ganz zu","","Stimme eher zu","Stimme voll und ganz zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Neutral",""
"18","1980-01-01 00:00:00","6","de","105561262","Sehr zufrieden","Physik","","Bachelor","","6","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Manchmal","Oft","Immer","Selten","Immer","Gar nicht","Selten","Manchmal","Oft","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Wow das war die beste tolleste und guteste Umfragung die ich je gemachen hab "
"19","1980-01-01 00:00:00","6","de","1390044785","Eher zufrieden","Statistik","","Bachelor","","5","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Manchmal","Oft","Selten","Manchmal","Immer","Gar nicht","Immer","Immer","Immer","Stimme eher zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Neutral","Stimme eher zu",""
"20","1980-01-01 00:00:00","6","de","1655222310","Neutral","Statistik","","Bachelor","","3","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Manchmal","Immer","Oft","Oft","Oft","Gar nicht","Selten","Oft","Immer","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Neutral","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher zu",""
"21","1980-01-01 00:00:00","6","de","1951201646","Neutral","Statistik","","Bachelor","","12","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Oft","Gar nicht","Selten","Manchmal","Oft","Gar nicht","Immer","Oft","Immer","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme eher zu",""
"22","1980-01-01 00:00:00","6","de","2072629606","Eher unzufrieden","Sonstiges","Maschinenbau","Bachelor","","3","Stimme eher zu","Stimme eher zu","Stimme eher zu","Neutral","Stimme voll und ganz zu","Gar nicht","Oft","Manchmal","Manchmal","Oft","Gar nicht","Oft","Oft","Immer","Neutral","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Neutral","Neutral","Neutral","Stimme überhaupt nicht zu","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Eine sehr gute Umfrage, die hoffentlich beachtet wird um zukünftige Lernmaterialien wie Skripte etc. (vor allem der Fakultät Maschinenbau) nicht komplizierter und unstrukturierter zu gestalten als sie eigentlich sind "
