,answer_id,date_sent,last_page,start_lang,random_value,sat_edu_sucess,faculty,faculty_other,edu_level,edu_level_other,semester_n,uebung_helpful,uebung_required,materials_helpfull,uebung_required_postpone,effective_learning,kurzscript_usage,fullscript_usage,notes_usage,videos_lecture_usage,uebeung_sols_usage,books_usage,old_exams_usage,videos_online_usage,ai_usage,material_understanding,materials_orga,materials_complicated,materials_ontime,materials_workload,materials_help,materials_safety,materials_motivation,materials_independent_learning,materials_learning_stress,materials_timewaste,materials_safety_exam,feedback
0,13,,,de,1421325756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,0.0,de,1629579539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,1980-01-01 00:00:00,6.0,de,1157929150,2.0,Informatik,,Bachelor,,3.0,2.0,4.0,2.0,5.0,4.0,4.0,3.0,2.0,2.0,5.0,1.0,5.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,
3,16,1980-01-01 00:00:00,6.0,de,512168480,1.0,Statistik,,Bachelor,,3.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,2.0,5.0,Was tut Diddyblud mit dem Taschenrechner? Ist er Einstein?
4,17,1980-01-01 00:00:00,6.0,de,1398450241,1.0,Physik,,Bachelor,,5.0,5.0,5.0,4.0,5.0,3.0,3.0,5.0,5.0,,5.0,2.0,5.0,3.0,2.0,4.0,3.0,5.0,,4.0,5.0,3.0,5.0,4.0,2.0,4.0,3.0,
5,18,1980-01-01 00:00:00,6.0,de,105561262,1.0,Physik,,Bachelor,,6.0,4.0,5.0,4.0,5.0,4.0,2.0,3.0,5.0,4.0,5.0,1.0,4.0,2.0,3.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,Wow das war die beste tolleste und guteste Umfragung die ich je gemachen hab 
6,19,1980-01-01 00:00:00,6.0,de,1390044785,2.0,Statistik,,Bachelor,,5.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,4.0,2.0,5.0,1.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,
7,20,1980-01-01 00:00:00,6.0,de,1655222310,3.0,Statistik,,Bachelor,,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,1.0,4.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0,5.0,1.0,4.0,4.0,
8,21,1980-01-01 00:00:00,6.0,de,1951201646,3.0,Statistik,,Bachelor,,12.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,4.0,2.0,3.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,
9,22,1980-01-01 00:00:00,6.0,de,2072629606,4.0,Sonstiges,Maschinenbau,Bachelor,,3.0,4.0,4.0,4.0,3.0,5.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,5.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,2.0,"Eine sehr gute Umfrage, die hoffentlich beachtet wird um zukünftige Lernmaterialien wie Skripte etc. (vor allem der Fakultät Maschinenbau) nicht komplizierter und unstrukturierter zu gestalten als sie eigentlich sind "
10,23,1980-01-01 00:00:00,6.0,de,1960540279,4.0,Statistik,,Bachelor,,1.0,4.0,2.0,4.0,5.0,5.0,2.0,5.0,3.0,,2.0,1.0,,2.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,
11,24,,,de,338420113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
