Anker1;Antwort1;Anker2;Antwort2;Anker3;Antwort3;Anker4;Antwort4
45;15;45;1921;79;75;1391;1400
90;65;90;1920;79;84;1698;1570
45;70;45;1936;79;81;1391;1459
45;55;45;1937;64;75;1698;1490
90;1000;90;1910;64;60;1698;1500
90;200;90;1905;64;64;1698;1698
90;500;90;1928;64;52;1391;1520
90;10;90;1920;64;78;1698;1500
90;270;90;1921;64;71;1391;1500
90;100;90;1935;79;70;1698;1717
90;33;90;1922;79;72;1698;1539
45;5;45;1925;64;55;1698;1702
90;120;90;1933;64;60;1698;1720
90;95;90;1935;79;75;1391;1452
45;80;45;1921;79;78;1698;1730
45;7;45;1926;79;83;1698;1588
90;300;90;1927;64;81;1391;1521
45;70;45;1907;79;85;1698;1682
45;60;45;1908;64;50;1698;1900
45;60;45;1940;64;45;1698;1400
90;30;90;1723;79;78;1698;1450
45;100;45;1900;79;75;1391;1500
90;70;90;1888;64;72;1698;1650
90;30;90;1921;64;70;1391;1452
90;20;90;1920;64;80;1391;1700
NA;NA;NA;NA;NA;NA;NA;NA
90;25;90;1921;79;78;1391;1452
